,account_id,account_name,ad_id,area,area_name,area_v2,category,category_name,image,latitude,longitude,location,list_id,list_time,price,region_name,rooms,size,street_name,subject,type,ward_name
141,3236063,Hồ Hoàng,156358924,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/EZGsTFDvhEnrEDPye0oPK1QOdieceLXXrDG9F5LUpcA/preset:listing/plain/d7aab5ca21b212ac08d9a7aee8f7965c-2873318745902980237.jpg,10.7835,106.6746,"10.7835,106.6746",115384038,1714716999925.0,4100000000.0,Tp Hồ Chí Minh,2.0,27.0,Đường Trần Văn Ðang,"Chính chủ, cần bán gấp nhà trung tâm Quận 3, nở hậu (MTG).",s,Phường 11
142,9574700,Cường,147983805,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/dpIo0s575HbpkRvktgR53oHR0o0XVvnqZj_ZtDTjQHA/preset:listing/plain/c24d5629be246e39eeca4f91030fcb6e-2834338508164719021.jpg,10.767716,106.68145,"10.767716,106.68145",108202368,1714716113000.0,5500000000.0,Tp Hồ Chí Minh,2.0,27.0,16 Nguyễn Thiện Thuật,BÁN NHÀ HẺM 16 NGUYỄN THIỆN THUẬT Q3 4 TẦNG 27m2 GIÁ 5.5 TỶ TL,s,Phường 2
143,9574700,Cường,151800113,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/ZVMAvmeoXo5OXjCZ59ql7BtWee5jPPpnmV1hCe2XWc4/preset:listing/plain/70884d91100052664f7d89b75663bb11-2851000082351103908.jpg,10.773211,106.681915,"10.773211,106.681915",111465155,1714716100000.0,12500000000.0,Tp Hồ Chí Minh,4.0,38.0,Ðường Số 2,BÁN NHÀ MAT TIEN ĐƯỜNG SỐ 2 CXĐT P4 Q3 4 TÂNG 40m2 12.5 TỶ TL,s,Phường 4
144,18562917,Nguyễn Hải,156266185,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/onQo--6y0JNBhB0C7-Ma6VdggMbeMvMyOEmaXvGmIpw/preset:listing/plain/5f9afb2c971fbb2059fc9752924df747-2872888712704427504.jpg,10.7735,106.6828,"10.7735,106.6828",115304244,1714715509752.0,3850000000.0,Tp Hồ Chí Minh,2.0,21.0,Đường Vườn Chuối,"QUẬN 3_VƯỜN CHUỐI, 3 TẦNG BTCT, HẺM 4M, NGAY CHỢ VƯỜN CHUỐI.",s,Phường 4
145,780003,Hoa,155748467,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/ilc2yyj2NEZ4Lm_PrlcFpQ3LMYF6P6_Wydzjg4vq61k/preset:listing/plain/f0a249404491387d97a11b1e0d6afca6-2870690325132282000.jpg,10.7892,106.675,"10.7892,106.675",114859356,1714714649000.0,5700000000.0,Tp Hồ Chí Minh,3.0,30.0,Lê Văn Sỹ,"🍏🆘LÊ VĂN SỸ-Q3-4TẦNG-Ở NGAY-CHỦ TẶNG ÍT NỘI THẤT-30M2-3PN-GIÁ 5,7TỶ",s,Phường 12
146,19229781, Phát,155190788,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/0gVUL8QMOoUDwwxSR7bUoYGyGunn6JAfF1qJ2LPGEBU/preset:listing/plain/b8f66f0d2b72d8a8bea8a04d595c7b1e-2868313605462082818.jpg,10.7725,106.6819,"10.7725,106.6819",114379347,1714714649000.0,4500000000.0,Tp Hồ Chí Minh,2.0,23.0,Cư Xá Đô Thành,"(4.5 TỶ) Nhà CXĐT Hẻm 5M , Sát Đường Lớn.!",s,Phường 4
147,22936548,Nguyễn Anh Tuấn,155763836,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/rvND6W5cRIIPs6MPqzXAXXdtDv43xqCk3sdZyiW6OwE/preset:listing/plain/1a9564e4d9ee6be76c3a7dacf0a54a69-2870728829134940480.jpg,10.7756,106.6847,"10.7756,106.6847",114872729,1714713417504.0,6999000000.0,Tp Hồ Chí Minh,3.0,36.0,Đường Cách Mạng Tháng 8,"Nhà Góc 2MT hẻm KD CMT8 P4 Q3,DT: 36m2 KC:T+2L+ST mới 100% giá 6.99 tỷ",s,Phường 4
148,9605001,Linh Watch Authentic,140864383,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/hWmruVZzwbBPPh2xfjs-OTqYPjeXfx3PZQ6AjgsG6Oo/preset:listing/plain/15a4ae3d499198865940f66a4d226cd8-2804605728861430723.jpg,10.78468,106.675,"10.78468,106.675",102245961,1714712769000.0,11800000000.0,Tp Hồ Chí Minh,4.0,126.0,Trần Văn Đang,Nhà hẻm oto 4m Trần Văn Đang,s,Phường 11
149,1578536,Phùng Tuấn Kiệt,156134565,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/oYKT8DaI2A8aj1fCRLp7HhRLADve_omwWiy8gIILbOA/preset:listing/plain/505f0ae4579d93a7a3d7f7e13ca2064e-2872331327866868773.jpg,10.7821,106.6964,"10.7821,106.6964",115191351,1714711496000.0,17500000000.0,Tp Hồ Chí Minh,6.0,54.7999,Phạm Ngọc Thạch,3 lầu+thang máy có 6 Phòng c.cấp tnhập 60tr/th khu VIP Phạm Ngọc Thạch,s,Phường Võ Thị Sáu
150,11397280,Tấn Phát BĐS,156858776,98,Quận 3,13098,1020,Nhà ở,https://cdn.chotot.com/svUmQJ3DuVgrg39q2dlLsLHTcT7_QENTLKDygpigFZY/preset:listing/plain/ea039d2534b59a8265be320c74c7e9b5-2875502609217531213.jpg,10.7789,106.6819,"10.7789,106.6819",115810787,1714710619366.0,15300000000.0,Tp Hồ Chí Minh,6.0,45.0,Đường Lý Chính Thắng,"Nhà 2 MT Lý Chính Thắng, Q.3 - 4 tầng đẹp - Khu sầm uất - tiện KD",s,Phường 9
